From	To
A0QND6	dnaN
I7G2B0	MSMEI_0004
A0QND7	MSMEG_0002
A0QND8	recF
A0QND9	MSMEG_0004
A0QNE0	gyrB
I7G3C5	gyrB
A0QRT3	gyrB
I7G2B3	MSMEI_0009
A0QNE2	MSMEG_0007
I7G2B7	MSMEI_0016
A0QNE6	MSMEG_0015
A0QNE7	MSMEG_0014
I7F4C8	MSMEI_0017
I7G2B9	MSMEI_0021
A0QNF1	MSMEG_0019
A0QNF2	MSMEG_0020
I7F4D3	MSMEI_0022
I7FVD4	MSMEI_0024
A0QNF4	MSMEG_0022
A0QNF5	cwsA
I7G2C2	ppiA
A0QNF6	MSMEG_0024
I7F4D7	MSMEI_0027
A0QNF7	MSMEG_0025
I7G135	crgA
A0QNF8	crgA
A0QNF9	MSMEG_0027
I7FVD9	MSMEI_0029
I7FCA3	trpG
A0QNG0	MSMEG_0029
A0QNG1	pknB
I7F4E4	pknA
A0QNG2	pknA
A0QNG3	pbpA
I7FCA8	ppp
A0QNG5	MSMEG_0033
A0QNG6	fhaB
I7F4F0	MSMEI_0037
A0QNG7	MSMEG_0035
I7G145	MSMEI_0044
A0QNH2	MSMEG_0042
A0QNH4	saeA
A0QNH5	saeB
A0QNH6	saeC
I7G148	MSMEI_0049
A0QNH7	MSMEG_0047
I7FVF6	MSMEI_0050
A0QNH8	MSMEG_0048
I7FCC1	MSMEI_0051
A0QNH9	MSMEG_0049
I7G2E0	MSMEI_0052
A0QNI0	MSMEG_0050
I7FVF9	MSMEI_0055
A0QNI4	MSMEG_0053
A0QNI5	espE
A0QNI7	espG1
I7G154	MSMEI_0059
A0QNI8	MSMEG_0058
A0QNI9	eccA1
A0QNJ0	eccB1
I7G2E5	MSMEI_0062
A0QNJ1	MSMEG_0061
A0QNJ2	eccCb1
I7FVG7	ppe68
A0QNJ4	MSMEG_0064
A0QNJ5	esxB
I7F4I6	MSMEI_0068
A0QNJ7	MSMEG_0067
A0QNJ8	MSMEG_0068
I7G159	MSMEI_0069
A0QNJ9	MSMEG_0069
A0QNK0	MSMEG_0070
I7FCD9	MSMEI_0071
A0QNK1	MSMEG_0071
I7FVH6	MSMEI_0075
A0QNK3	MSMEG_0075
I7FCE3	MSMEI_0076
A0QNK4	MSMEG_0076
A0QNK5	MSMEG_0077
A0QNK7	MSMEG_0079
A0QNK8	MSMEG_0080
I7F4J6	MSMEI_0078
I7G166	MSMEI_0079
A0QNK9	MSMEG_0081
A0QNL0	eccE1
A0QNL1	mycP1
I7G2F8	MSMEI_0082
A0QNL2	MSMEG_0084
I7F4K0	MSMEI_0083
A0QNL3	MSMEG_0085
I7G169	MSMEI_0084
A0QNL4	MSMEG_0086
I7FVI4	MSMEI_0085
A0QNL5	MSMEG_0087
A0QNL6	ptsI
I7FCF3	MSMEI_0086
I7G172	MSMEI_0089
A0QNL9	MSMEG_0091
I7FVI8	MSMEI_0090
A0QNM0	MSMEG_0092
A0QNM1	MSMEG_0093
A0QNM2	MSMEG_0095
A0QNM4	MSMEG_0096
I7F4L2	MSMEI_0093
I7G174	MSMEI_0094
A0QNM5	MSMEG_0097
I7FVJ1	MSMEI_0095
A0QNM6	MSMEG_0098
A0QNM8	MSMEG_0101
I7FCG1	MSMEI_0096
I7G2G8	ptbB
A0QNM9	MSMEG_0100
I7FVJ5	MSMEI_0100
A0QNN2	MSMEG_0104
I7G180	MSMEI_0104
A0QNN6	MSMEG_0108
I7FVJ9	MSMEI_0105
A0QNN7	pntB
I7FCH0	MSMEI_0106
A0QNN8	pntA
I7FP37	MSMEI_4010
A0QZQ3	pntA
A0QNN9	MSMEG_0111
I7G2H4	MSMEI_0107
I7FVK4	MSMEI_0110
A0QNP2	MSMEG_0114
I7FCH4	MSMEI_0111
A0QNP3	MSMEG_0116
I7G2H8	MSMEI_0112
A0QNP4	dehII
I7F4N6	MSMEI_0113
A0QNP5	MSMEG_0117
I7G185	MSMEI_0114
A0QNP6	MSMEG_0118
I7FCH9	MSMEI_0116
A0QNP8	MSMEG_0120
I7G2I2	MSMEI_0117
A0QNP9	MSMEG_0121
I7FCI4	MSMEI_0121
A0QNQ3	MSMEG_0124
I7G2I5	MSMEI_0122
A0QNQ4	MSMEG_0126
I7F4P5	adhE1
A0QNQ5	MSMEG_0127
I7G191	MSMEI_0125
A0QNQ6	MSMEG_0128
A0QNQ7	MSMEG_0129
I7FVL6	MSMEI_0126
A0QNQ9	MSMEG_0131
I7G2I8	MSMEI_0128
I7FCJ0	mce2B
A0QNR3	MSMEG_0135
I7G2J2	mce1C
A0QNR4	MSMEG_0136
I7F4Q7	mce2D
A0QNR5	MSMEG_0137
I7G197	lprL
A0QNR6	MSMEG_0138
I7FVM5	MSMEI_0136
A0QNR7	MSMEG_0139
I7FCJ5	MSMEI_0137
A0QNR8	MSMEG_0140
I7G2J6	MSMEI_0138
A0QNR9	MSMEG_0141
I7F4R4	MSMEI_0139
A0QNS0	MSMEG_0142
I7G1A0	MSMEI_0140
A0QNS1	MSMEG_0143
I7G2J9	MSMEI_0143
A0QNS4	MSMEG_0146
A0QNS6	MSMEG_0148
I7G1A3	MSMEI_0145
I7F4S5	pntAa
A0QNT0	MSMEG_0152
A0QNT1	panE
I7G1A6	MSMEI_0150
I7FVN7	pyk
A0QNT2	pyk
I7FCK7	MSMEI_0152
A0QNT3	MSMEG_0155
A0QNT6	frc
I7G1A9	frc
A0QNT9	MSMEG_0161
I7G2K9	MSMEI_0158
A0QNV0	MSMEG_0172
I7G2L6	MSMEI_0168
I7G1C0	MSMEI_0175
A0QNV7	MSMEG_0179
I7FVQ7	MSMEI_0176
A0QNV8	MSMEG_0180
I7FCM5	MSMEI_0177
A0QNV9	MSMEG_0181
A0QNX0	MSMEG_0192
I7FCN4	MSMEI_0187
I7F4X0	cut1
A0QNX2	MSMEG_0194
I7G2N0	MSMEI_0193
A0QNX6	MSMEG_0198
I7F4Y1	MSMEI_0199
A0QNY3	MSMEG_0207
I7FCP7	MSMEI_0202
A0QNY6	MSMEG_0209
I7F4Y8	MSMEI_0204
A0QNY8	MSMEG_0211
I7G1D3	MSMEI_0205
A0QNY9	MSMEG_0212
I7FCQ2	MSMEI_0207
A0QNZ1	MSMEG_0214
I7G2N8	MSMEI_0208
A0QNZ2	MSMEG_0215
I7G1D6	adhB
A0QNZ4	MSMEG_0217
A0QNZ6	MSMEG_0219
I7FCQ7	sigG
A0QNZ7	MSMEG_0220
A0QNZ8	MSMEG_0221
I7F4Z8	MSMEI_0214
I7G1D9	MSMEI_0215
A0QNZ9	MSMEG_0222
I7FVT3	MSMEI_0216
A0QP00	MSMEG_0223
I7FCR3	MSMEI_0217
A0QP01	MSMEG_0224
I7G2P4	mmpL5
A0QP02	MSMEG_0225
I7G1E2	MSMEI_0220
A0QP04	MSMEG_0227
I7FCR6	ilvD
A0QP06	ilvD
I7G2P7	MSMEI_0223
A0QP07	MSMEG_0230
I7F511	MSMEI_0224
A0QP08	MSMEG_0231
A0QP10	MSMEG_0233
I7FVU1	MSMEI_0226
I7FCS2	MSMEI_0227
