yourlist:M20190125216DA2B77BFBD2E6699CA9B6D1C41EB203BCDBR	Entry	Entry name	Status	Protein names	Gene names	Organism	Proteomes
I7G2B0	I7G2B0	I7G2B0_MYCS2	unreviewed	6-phosphogluconate dehydrogenase (EC 1.1.1.44)	MSMEI_0004	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QND7	A0QND7	A0QND7_MYCS2	unreviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	MSMEG_0002	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QND8	A0QND8	RECF_MYCS2	reviewed	DNA replication and repair protein RecF	recF MSMEG_0003 MSMEI_0005	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNE0	A0QNE0	GYRB_MYCS2	reviewed	DNA gyrase subunit B (EC 5.99.1.3)	gyrB MSMEG_0005 MSMEI_0007	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G3C5	I7G3C5	I7G3C5_MYCS2	unreviewed	DNA gyrase subunit B (EC 5.99.1.3)	gyrB MSMEI_1195	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QRT3	A0QRT3	A0QRT3_MYCS2	unreviewed	DNA gyrase subunit B (EC 5.99.1.3)	gyrB MSMEG_1229	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QNF5	A0QNF5	CWSA_MYCS2	reviewed	Cell wall synthesis protein CwsA (Cell wall synthesis and cell shape protein A)	cwsA MSMEG_0023 MSMEI_0025	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNG1	A0QNG1	PKNB_MYCS2	reviewed	Serine/threonine-protein kinase PknB (EC 2.7.11.1)	pknB MSMEG_0028 MSMEI_0031	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNG3	A0QNG3	PBPA_MYCS2	reviewed	Penicillin-binding protein A (PBPA)	pbpA MSMEG_0031 MSMEI_0033	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNG6	A0QNG6	FHAB_MYCS2	reviewed	FHA domain-containing protein FhaB (FtsZ-interacting protein A)	fhaB fipA MSMEG_0034 MSMEI_0036	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNH4	A0QNH4	SAEA_MYCS2	reviewed	Putative ESX-1 scaffolding and assembly protein SaeA	saeA MSMEG_0044 MSMEI_0046	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNH5	A0QNH5	SAEB_MYCS2	reviewed	Putative ESX-1 scaffolding and assembly protein SaeB	saeB MSMEG_0045 MSMEI_0047	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNH6	A0QNH6	SAEC_MYCS2	reviewed	Putative ESX-1 scaffolding and assembly protein SaeC	saeC MSMEG_0046 MSMEI_0048	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNI5	A0QNI5	ESPE_MYCS2	reviewed	ESX-1 secretion-associated protein EspE	espE MSMEG_0055 MSMEI_0056	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNI7	A0QNI7	ESPG1_MYCS2	reviewed	ESX-1 secretion-associated protein EspG1	espG1 Sm3866 snm5 MSMEG_0057 MSMEI_0058	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNI9	A0QNI9	ECCA1_MYCS2	reviewed	ESX-1 secretion system protein EccA1 (ESX conserved component A1) (Type VII secretion system protein EccA1) (T7SS protein EccA1)	eccA1 Ms3868 Sm3868 MSMEG_0059 MSMEI_0060	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNJ0	A0QNJ0	ECCB1_MYCS2	reviewed	ESX-1 secretion system ATPase EccB1	eccB1 Ms3869 Sm3869 snm6 MSMEG_0060 MSMEI_0061	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNJ2	A0QNJ2	ECC1B_MYCS2	reviewed	ESX-1 secretion system protein EccCb1	eccCb1 Ms3871 Sm3871 snm2 MSMEG_0062 MSMEI_0063	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNJ5	A0QNJ5	ESXB_MYCS2	reviewed	ESAT-6-like protein EsxB	esxB MSMEG_0065 MSMEI_0066	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNJ9	A0QNJ9	A0QNJ9_MYCS2	unreviewed	Translation initiation factor IF-2 protein	MSMEG_0069	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QNK0	A0QNK0	A0QNK0_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0070	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QNK5	A0QNK5	A0QNK5_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0077	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QNK7	A0QNK7	A0QNK7_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0079	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QNL0	A0QNL0	ECCE1_MYCS2	reviewed	ESX-1 secretion system protein EccE1	eccE1 Ms3382c Sm3882c snm7 MSMEG_0082 MSMEI_0080	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNL1	A0QNL1	MYCP1_MYCS2	reviewed	Mycosin-1 (EC 3.4.21.-) (MycP1 protease)	mycP1 MSMEG_0083 MSMEI_0081	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNM1	A0QNM1	Y093_MYCS2	reviewed	Putative S-adenosyl-L-methionine-dependent methyltransferase MSMEG_0093 (EC 2.1.1.-)	MSMEG_0093 MSMEI_0091	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QNM2	A0QNM2	Y095_MYCS2	reviewed	Putative S-adenosyl-L-methionine-dependent methyltransferase MSMEG_0095/MSMEI_0092 (EC 2.1.1.-)	MSMEG_0095 MSMEI_0092	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G174	I7G174	I7G174_MYCS2	unreviewed	Putative quinone oxidoreductase (NADPH:quinone oxidoreductase) (Zeta-crystallin) (EC 1.6.5.5)	MSMEI_0094	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FVJ1	I7FVJ1	I7FVJ1_MYCS2	unreviewed	Methyltransferase type 11 (EC 2.1.1.-)	MSMEI_0095	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QNM8	A0QNM8	A0QNM8_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0101	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G2G8	I7G2G8	I7G2G8_MYCS2	unreviewed	Phosphotyrosine protein phosphatase PtpB (EC 3.1.3.48)	ptbB MSMEI_0097	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FVJ5	I7FVJ5	I7FVJ5_MYCS2	unreviewed	LysR-family transcriptional regulator	MSMEI_0100	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G180	I7G180	I7G180_MYCS2	unreviewed	Acyl-CoA dehydrogenase (EC 1.3.8.1)	MSMEI_0104	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FVJ9	I7FVJ9	I7FVJ9_MYCS2	unreviewed	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta)	MSMEI_0105	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCH0	I7FCH0	I7FCH0_MYCS2	unreviewed	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	MSMEI_0106	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QNN9	A0QNN9	A0QNN9_MYCS2	unreviewed	Putative magnesium transport protein	MSMEG_0111	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FVK4	I7FVK4	I7FVK4_MYCS2	unreviewed	Substrate-binding region of ABC-type glycine betaine transport system	MSMEI_0110	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FCH4	I7FCH4	I7FCH4_MYCS2	unreviewed	ABC transporter related protein	MSMEI_0111	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
