Entry.name	H37Rv	mc_155	Protein.function	category	keep	Fasta.headers
FAS	Rv2524c	MSMEG_4757	Fatty acid synthase	"Fatty acid synthesis, elongation and modification"	TRUE	tr|I7GCU8|I7GCU8_MYCS2 Fatty acid synthase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEI_4637 PE=4 SV=1;tr|A0R1H7|A0R1H7_MYCS2 Fatty acid synthase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_4757 PE=1 SV=1
MtFabH	Rv0533c	?no ortholog..	Yes/yes	"Fatty acid synthesis, elongation and modification"	TRUE	FALSE
FabD	Rv2243	MSMEG_4325	Malonyl CoA-acyl carrier protein transacylase	"Fatty acid synthesis, elongation and modification"	TRUE	sp|A0R0B2|FABD_MYCS2 Malonyl CoA-acyl carrier protein transacylase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=fabD PE=1 SV=1
AcpM	Rv2244	MSMEG_4326	Acyl carrier protein	"Fatty acid synthesis, elongation and modification"	TRUE	sp|A0R0B3|ACPM_MYCS2 Meromycolate extension acyl carrier protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=acpM PE=1 SV=1
KasA	Rv2245	MSMEG_4327	beta-ketoacyl-ACP synthase I	"Fatty acid synthesis, elongation and modification"	TRUE	tr|I7FPP0|I7FPP0_MYCS2 3-oxoacyl-(Acyl-carrier-protein) synthase 1 KasA OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=kasA PE=3 SV=1;tr|A0R0B4|A0R0B4_MYCS2 3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Mycobacterium smegmatis (strain ATCC 
KasB	Rv2246	MSMEG_4328	beta-ketoacyl-ACP synthase 2	"Fatty acid synthesis, elongation and modification"	TRUE	tr|I7G397|I7G397_MYCS2 3-oxoacyl-(Acyl-carrier-protein) synthase 2 KasB OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=kasB PE=3 SV=1;tr|A0QRQ7|A0QRQ7_MYCS2 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Mycobacterium smegmatis (strain ATCC ||tr|I7GD96|I7GD96_MYCS2 3-oxoacyl-(Acyl-carrier-protein) synthase 1 KasA OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=kasB PE=3 SV=1;tr|A0R0B5|A0R0B5_MYCS2 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Mycobacterium smegmatis (strain ATCC 
AccD6	Rv2247	MSMEG_4329	Acetyl-CoA carboxylase (beta subunit)	"Fatty acid synthesis, elongation and modification"	TRUE	tr|I7FH10|I7FH10_MYCS2 Acetyl/propionyl-CoA carboxylase (Beta subunit) AccD6 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=accD6 PE=4 SV=1;tr|A0R0B6|A0R0B6_MYCS2 Propionyl-CoA carboxylase beta chain OS=Mycobacterium smegmatis (strain ATCC 7
MabA	Rv1483	MSMEG_3150	3-ketoacyl-acyl carrier protein reductase	"Fatty acid synthesis, elongation and modification"	TRUE	FALSE
InhA	Rv1484	MSMEG_3151	NADH-dependent enoyl-ACP reductase	"Fatty acid synthesis, elongation and modification"	TRUE	sp|P42829|INHA_MYCS2 Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=inhA PE=1 SV=1
HadA	Rv0635	MSMEG_1340	(3R)-hydroxyacyl-ACP dehydratase subunit	"Fatty acid synthesis, elongation and modification"	TRUE	tr|I7G3N0|I7G3N0_MYCS2 UPF0336 protein MSMEI_1302 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEI_1302 PE=3 SV=1;tr|A0QS40|A0QS40_MYCS2 UPF0336 protein MSMEG_1340 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_1340 
HadB	Rv0636	MSMEG_1341	(3R)-hydroxyacyl-ACP dehydratase subunit	"Fatty acid synthesis, elongation and modification"	TRUE	tr|I7FXZ1|I7FXZ1_MYCS2 MaoC-like dehydratase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEI_1303 PE=4 SV=1;tr|A0QS41|A0QS41_MYCS2 MaoC family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_1341 PE=1 SV=1
HadC	Rv0637	MSMEG_1342	(3R)-hydroxyacyl-ACP dehydratase subunit	"Fatty acid synthesis, elongation and modification"	TRUE	tr|I7FFY1|I7FFY1_MYCS2 UPF0336 protein MSMEI_1304 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEI_1304 PE=3 SV=1;tr|A0QS42|A0QS42_MYCS2 UPF0336 protein MSMEG_1342 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_1342 
DesA2	Rv1094	MSMEG_5248	Acyl/stearoyl-ACP desaturase	"Fatty acid synthesis, elongation and modification"	TRUE	tr|I7GF12|I7GF12_MYCS2 Acyl-acyl-carrier protein desaturase DesA2 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=desA2 PE=4 SV=1;tr|A0R2V6|A0R2V6_MYCS2 Acyl-[ACP] desaturase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG
PcaA	Rv0470c	?	cyclopropane synthase	"Fatty acid synthesis, elongation and modification"	TRUE	tr|A0A0S1EEI5|A0A0S1EEI5_MYCS2 Early secretory antigenic target (Fragment) OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=esat-6 PE=3 SV=1||sp|A0QND6|DPO3B_MYCS2 Beta sliding clamp OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) 
FadD32	Rv3801c	MSMEG_6393	Fatty acyl-AMP/ACP ligase	"Mycolic acid condensation, transport and transfer"	TRUE	tr|I7GFQ6|I7GFQ6_MYCS2 Fatty-acid-CoA ligase FadD32 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=fadD32 PE=4 SV=1;tr|A0R618|A0R618_MYCS2 Acyl-CoA synthase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_6393 PE=1 SV=1
Pks13	Rv3800c	MSMEG_6392	Polyketide synthase	"Mycolic acid condensation, transport and transfer"	TRUE	tr|I7FMV0|I7FMV0_MYCS2 Polyketide synthase PKS13 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=pks13 PE=4 SV=1;tr|A0R617|A0R617_MYCS2 Polyketide synthase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_6392 PE=4 SV=1||tr|A0R617|A0R617_MYCS2 Polyketide synthase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_6392 PE=4 SV=1;tr|I7FMV0|I7FMV0_MYCS2 Polyketide synthase PKS13 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=pks13 PE=4 SV=1
