From	To
I7G2B3	MSMEI_0009
A0QNE2	MSMEG_0007
I7G135	crgA
A0QNF8	crgA
A0QNG1	pknB
I7F4E4	pknA
A0QNG2	pknA
I7FCA8	ppp
A0QNG5	MSMEG_0033
I7F4F0	MSMEI_0037
A0QNG7	MSMEG_0035
I7G145	MSMEI_0044
A0QNH2	MSMEG_0042
I7GBJ0	MSMEI_3431
I7G151	MSMEI_0054
I7FSX6	MSMEI_4411
A0QNI3	MSMEG_0054
I7FVF9	MSMEI_0055
A0QNI4	MSMEG_0053
I7G2E5	MSMEI_0062
A0QNJ1	MSMEG_0061
A0QNJ5	esxB
I7F4I6	MSMEI_0068
A0QNJ7	MSMEG_0067
A0QNJ8	MSMEG_0068
I7FCE3	MSMEI_0076
A0QNK4	MSMEG_0076
A0QNK5	MSMEG_0077
I7G1A0	MSMEI_0140
A0QNS1	MSMEG_0143
A0QNU4	MSMEG_0166
A0QNY0	MSMEG_0203
I7FCR6	ilvD
A0QP06	ilvD
I7G2P7	MSMEI_0223
A0QP07	MSMEG_0230
A0QP32	pckG
I7F585	MSMEI_0304
A0QP87	MSMEG_0311
I7G2Z6	MSMEI_0358
A0QPE0	MSMEG_0365
A0QPG6	MSMEG_0391
Q2YHH8	rmt3
I7F5J6	rmt3
I7FD99	MSMEI_0387
A0QPG9	MSMEG_0394
I7G1T4	MSMEI_0405
A0QPJ0	MSMEG_0415
I7G395	MSMEI_0438
A0QPM6	MSMEG_0451
I7FWI5	MSMEI_0496
A0QPT3	MSMEG_0509
I7F5Y3	MSMEI_0524
A0QPW2	MSMEG_0539
A0QPW5	MSMEG_0542
I7FDL9	MSMEI_0527
A0QQ46	eccD3
I7G3N5	MSMEI_0623
A0QQ61	MSMEG_0639
I7F683	MSMEI_0624
A0QQ62	MSMEG_0640
I7FE09	MSMEI_0673
A0QQB0	MSMEG_0690
A0QQC8	dnaK
I7FE35	grpE
A0QQC9	grpE
A0QT56	MSMEG_1720
I7G936	MSMEI_0707
A0QQE2	MSMEG_0724
I7F6I5	MSMEI_0720
A0QQF4	MSMEG_0736
I7G2B8	MSMEI_0746
A0QQI0	MSMEG_0762
I7FEA0	MSMEI_0748
A0QQI2	MSMEG_0764
I7FEA6	metZ
A0QQI7	metZ
I7F6M6	MSMEI_0765
A0QQJ8	MSMEG_0781
I7F6R1	MSMEI_0805
A0QQP0	MSMEG_0824
I7FX29	MSMEI_0812
A0QQP7	MSMEG_0830
I7G468	MSMEI_0839
A0QQS4	MSMEG_0858
I7G2K2	MSMEI_0846
A0QQT1	MSMEG_0867
I7G4E1	icl
A0QQX6	aceA
I7FXB8	MSMEI_0917
A0QR05	MSMEG_0940
I7G4G7	MSMEI_0924
A0QR13	MSMEG_0948
A0QR32	MSMEG_0968
I7G4I8	MSMEI_0959
A0QR50	MSMEG_0986
I7G2U0	menA
A0QR52	menA
I7G670	MSMEI_2251
I7F7D7	MSMEI_1000
A0QR91	MSMEG_1030
I7FIX8	MSMEI_1017
A0QRA6	MSMEG_1047
A0QRD3	menB
I7G2Z4	MSMEI_1051
A0QRE2	MSMEG_1084
I7G4S0	MSMEI_1059
